user_id,country,device_type,platform,app_version,budget_sensitivity,quality_preference,purchase_propensity,experiment_id,experiment_group
U00001,India,tablet,ios,1.0,0.8585979199113825,0.6973680290593639,0.10179754133820723,recommendation_v2_test,control
U00002,Germany,tablet,web,1.1,0.7860643052769538,0.12811363267554587,0.2977122658425619,recommendation_v2_test,treatment
U00003,Germany,desktop,android,1.1,0.6438651200806645,0.82276161327083,0.2938778093550321,recommendation_v2_test,control
U00004,UK,mobile,android,1.1,0.06381725610417532,0.8276311719925821,0.3974154195171356,recommendation_v2_test,control
U00005,India,tablet,web,1.0,0.9706980243949033,0.8931211213221977,0.478110923390569,recommendation_v2_test,control
U00006,Australia,mobile,ios,1.0,0.04380376578722878,0.15428949206754783,0.42567692428334997,recommendation_v2_test,control
U00007,Australia,tablet,ios,1.1,0.32582535813815194,0.3704597060348689,0.3082556962016943,recommendation_v2_test,control
U00008,Australia,mobile,ios,1.0,0.47570492622593374,0.2269093490508841,0.41839769707538066,recommendation_v2_test,control
U00009,Australia,desktop,android,1.1,0.7002651020022491,0.31236664138204107,0.5077428907673606,recommendation_v2_test,control
U00010,UK,tablet,web,1.0,0.2883281039302441,0.6824955039749755,0.1268638659851204,recommendation_v2_test,treatment
U00011,Australia,mobile,web,1.0,0.7869243775021384,0.6648508565920321,0.43784095824448427,recommendation_v2_test,treatment
U00012,UK,tablet,ios,1.0,0.5687411959528937,0.13979699812765745,0.11299154044478539,recommendation_v2_test,control
U00013,UK,tablet,ios,1.0,0.5652361064811888,0.7649988574160256,0.3990950760003249,recommendation_v2_test,treatment
U00014,Germany,desktop,android,1.1,0.3039500980626122,0.030817834567939406,0.29019456407779926,recommendation_v2_test,control
U00015,Australia,mobile,android,1.0,0.8534030732681661,0.23393948586534075,0.08206650792898632,recommendation_v2_test,treatment
U00016,Australia,mobile,web,1.0,0.6619165147268951,0.5570321523412783,0.4811440150085274,recommendation_v2_test,treatment
U00017,Australia,desktop,ios,1.0,0.8140203846660347,0.1669729199077039,0.06249164022362326,recommendation_v2_test,treatment
U00018,India,mobile,web,1.1,0.4618772302513874,0.1612717790336018,0.3255746263068499,recommendation_v2_test,treatment
U00019,Australia,mobile,ios,1.1,0.4461562755740307,0.3810212260964825,0.21583164903133206,recommendation_v2_test,control
U00020,Germany,desktop,ios,1.0,0.087649919316101,0.11800590212051532,0.579043715502233,recommendation_v2_test,treatment
U00021,UK,tablet,ios,1.1,0.2658699614595196,0.9691763773477239,0.47831299718118697,recommendation_v2_test,treatment
U00022,UK,tablet,web,1.0,0.272241561845159,0.0963909621534993,0.5464313180991128,recommendation_v2_test,treatment
U00023,India,desktop,web,1.0,0.3059566241506525,0.579219568941896,0.14722503061657743,recommendation_v2_test,control
U00024,UK,tablet,android,1.1,0.7194629559509368,0.4320930397751037,0.3950198623863437,recommendation_v2_test,treatment
U00025,India,desktop,android,1.1,0.08444432113988909,0.41580740217060963,0.07288779562404087,recommendation_v2_test,treatment
U00026,India,desktop,android,1.0,0.1445241888660469,0.10340296772255164,0.3732045146977416,recommendation_v2_test,treatment
U00027,Australia,mobile,android,1.1,0.581061139700395,0.34686980453483707,0.3750035203147792,recommendation_v2_test,control
U00028,UK,mobile,android,1.1,0.48230343694290023,0.7827352272502862,0.09550149995734121,recommendation_v2_test,treatment
U00029,UK,desktop,web,1.0,0.9378264549749828,0.5717280523760754,0.31041917058132457,recommendation_v2_test,treatment
U00030,Australia,mobile,web,1.0,0.5206724024715378,0.4389114603050467,0.06188664393418174,recommendation_v2_test,control
U00031,UK,tablet,android,1.1,0.14024908899861077,0.5540361435390494,0.10971665762449395,recommendation_v2_test,control
U00032,Germany,tablet,android,1.0,0.6594226346919018,0.7269946142868826,0.4727561205547113,recommendation_v2_test,treatment
U00033,UK,mobile,ios,1.1,0.23021399089488082,0.03741255617617978,0.3551688581653158,recommendation_v2_test,treatment
U00034,Germany,desktop,android,1.1,0.8082514720643018,0.31713889282271535,0.5740946672883597,recommendation_v2_test,control
U00035,Germany,mobile,ios,1.1,0.25596509056760275,0.9360435700489633,0.14053429967010997,recommendation_v2_test,treatment
U00036,Germany,mobile,android,1.0,0.992375564055837,0.891677266254914,0.461734410701322,recommendation_v2_test,treatment
U00037,Australia,tablet,android,1.1,0.5188583603864491,0.315929051830793,0.47460683766104333,recommendation_v2_test,treatment
U00038,UK,desktop,ios,1.0,0.09446666806151527,0.746789611349026,0.19435328375757555,recommendation_v2_test,control
U00039,India,tablet,web,1.0,0.12275793241148603,0.8311126721249061,0.1343063741434717,recommendation_v2_test,treatment
U00040,Germany,mobile,ios,1.1,0.8745620408374645,0.19643466571457324,0.2206780200950521,recommendation_v2_test,control
U00041,Australia,tablet,android,1.1,0.5007411862023423,0.14389750255125078,0.05766495823951085,recommendation_v2_test,treatment
U00042,India,mobile,android,1.0,0.6776586736128575,0.12183250462853112,0.3284814623913481,recommendation_v2_test,control
U00043,Australia,tablet,web,1.1,0.19977565166005762,0.8041245261822627,0.44347392128869084,recommendation_v2_test,treatment
U00044,India,tablet,web,1.0,0.12375380365034461,0.9275625510065076,0.2686680066037173,recommendation_v2_test,treatment
U00045,Australia,mobile,android,1.0,0.6628642127635824,0.9556232570469699,0.20754542478513022,recommendation_v2_test,treatment
U00046,Australia,tablet,ios,1.0,0.5551980423268247,0.6339751116810851,0.10824357206291431,recommendation_v2_test,treatment
U00047,Germany,mobile,web,1.0,0.9662319121431817,0.5960425532343728,0.5631627718801162,recommendation_v2_test,treatment
U00048,Germany,tablet,ios,1.0,0.7847634492521874,0.017836783976987736,0.11002919822115421,recommendation_v2_test,control
U00049,UK,tablet,android,1.1,0.2326407419664337,0.5307695905990535,0.38330870138500595,recommendation_v2_test,treatment
U00050,Australia,tablet,web,1.1,0.4125715692736803,0.3741840434071827,0.2842351475054304,recommendation_v2_test,treatment
U00051,India,desktop,web,1.1,0.45389688207629975,0.24783956295135812,0.1801642996486696,recommendation_v2_test,treatment
U00052,Australia,tablet,web,1.1,0.10527807985412496,0.06655885695517816,0.3769385150660484,recommendation_v2_test,treatment
U00053,UK,mobile,android,1.1,0.31033467392407443,0.14387193297114265,0.5565337598680976,recommendation_v2_test,treatment
U00054,Germany,mobile,android,1.0,0.15361339519205863,0.11549006366535497,0.06163140898504202,recommendation_v2_test,treatment
U00055,Germany,mobile,android,1.0,0.05338193262717539,0.5911438161109712,0.42439298973972844,recommendation_v2_test,treatment
U00056,Australia,desktop,web,1.0,0.5045262370222301,0.8750049422346086,0.5181223947522132,recommendation_v2_test,treatment
U00057,Germany,mobile,ios,1.0,0.23674487110439602,0.24938757583221183,0.36417795845852496,recommendation_v2_test,control
U00058,Australia,desktop,android,1.0,0.3736141384595716,0.5237529487176372,0.10591954659704378,recommendation_v2_test,treatment
U00059,India,tablet,android,1.0,0.9248418690180621,0.0991131415798755,0.513966223378764,recommendation_v2_test,treatment
U00060,Australia,tablet,android,1.1,0.8020258802735936,0.7794775407713289,0.40336580179755116,recommendation_v2_test,control
U00061,Germany,tablet,web,1.0,0.5360680359476373,0.5142228701904145,0.5216646792674066,recommendation_v2_test,control
U00062,Australia,desktop,web,1.0,0.6395632712371101,0.26646331750084606,0.12687262602467628,recommendation_v2_test,control
U00063,UK,desktop,android,1.0,0.2325699405288737,0.367511810115128,0.25151584740443605,recommendation_v2_test,treatment
U00064,Germany,mobile,ios,1.0,0.6857433454559454,0.2968764745712853,0.5718718596934372,recommendation_v2_test,treatment
U00065,Germany,tablet,web,1.0,0.3283612050046888,0.5354347898300031,0.5167082688254935,recommendation_v2_test,control
U00066,UK,desktop,android,1.1,0.5327222760657402,0.6329176292676207,0.20848558780035392,recommendation_v2_test,control
U00067,India,tablet,android,1.0,0.6947981288184982,0.8607190683258941,0.12265656051584915,recommendation_v2_test,treatment
U00068,Australia,desktop,ios,1.0,0.7257156282714269,0.08449321882352023,0.5647669024853443,recommendation_v2_test,treatment
U00069,Germany,mobile,web,1.1,0.8008841760850967,0.5936820044663541,0.4804432575462507,recommendation_v2_test,treatment
U00070,Australia,tablet,web,1.1,0.2533833538391872,0.5900758953583092,0.10227705866042067,recommendation_v2_test,treatment
U00071,Germany,desktop,android,1.0,0.5649506114724419,0.5724305140338497,0.306291834139675,recommendation_v2_test,treatment
U00072,Germany,desktop,web,1.1,0.7992447165120666,0.4921532155754291,0.3797763928374367,recommendation_v2_test,treatment
U00073,India,tablet,web,1.0,0.1171035659001105,0.08770901191076841,0.4118248067722903,recommendation_v2_test,control
U00074,Germany,desktop,web,1.1,0.6712314133085926,0.33363775832823817,0.5441016010488446,recommendation_v2_test,control
U00075,Australia,tablet,ios,1.0,0.364192017772054,0.3144399802042629,0.13668640674374982,recommendation_v2_test,treatment
U00076,Australia,mobile,android,1.1,0.43790403719875326,0.38331982277740984,0.4513271397725578,recommendation_v2_test,treatment
U00077,India,desktop,web,1.1,0.7803014939093922,0.47936956412454035,0.2569977104144544,recommendation_v2_test,treatment
U00078,Germany,tablet,android,1.1,0.9511946600038411,0.11847857721704136,0.5177935235549304,recommendation_v2_test,control
U00079,Australia,desktop,android,1.0,0.5882579999692207,0.6860963651054488,0.056766477238731565,recommendation_v2_test,treatment
U00080,India,desktop,web,1.1,0.29535902534408986,0.4585480817985511,0.29327276988734124,recommendation_v2_test,treatment
U00081,India,mobile,ios,1.1,0.7812940354315159,0.1105884109961105,0.5983690618106652,recommendation_v2_test,treatment
U00082,India,tablet,web,1.0,0.8368965796609382,0.10641953187138287,0.5995076017608313,recommendation_v2_test,treatment
U00083,India,desktop,android,1.1,0.09044072698413275,0.8970333988966253,0.06594972676245818,recommendation_v2_test,control
U00084,India,mobile,ios,1.0,0.7767679406922186,0.19820422721289788,0.5508510249219869,recommendation_v2_test,control
U00085,UK,desktop,web,1.0,0.0054298341287004614,0.051657917014398924,0.3832588477062502,recommendation_v2_test,control
U00086,Australia,tablet,web,1.0,0.849408842923073,0.057231940153260386,0.49053011950292186,recommendation_v2_test,control
U00087,Australia,tablet,android,1.1,0.6981207839786372,0.8379802186553831,0.07208321475088653,recommendation_v2_test,control
U00088,UK,mobile,android,1.0,0.5045309901929865,0.7451881283288445,0.39650651451701924,recommendation_v2_test,control
U00089,India,tablet,ios,1.0,0.7346210919351616,0.1930414908689041,0.19891731322479012,recommendation_v2_test,treatment
U00090,India,tablet,ios,1.1,0.6115436059770696,0.054500314991295595,0.38896993346014297,recommendation_v2_test,control
U00091,India,mobile,android,1.1,0.7095782851006207,0.17312784642250323,0.10044655320330893,recommendation_v2_test,control
U00092,Australia,mobile,ios,1.1,0.4585606424584898,0.784080948341408,0.4000245881592772,recommendation_v2_test,treatment
U00093,Australia,desktop,ios,1.0,0.9460244535580951,0.30134263251471793,0.36790946869414815,recommendation_v2_test,control
U00094,Germany,tablet,android,1.1,0.9405944096955184,0.148438989920058,0.3295940061458181,recommendation_v2_test,control
U00095,Germany,desktop,web,1.0,0.11921752619774462,0.13409460987276534,0.20294155017969157,recommendation_v2_test,treatment
U00096,India,mobile,ios,1.0,0.6109875470366283,0.634629117418263,0.27649599312206363,recommendation_v2_test,control
U00097,India,desktop,web,1.0,0.5883062484090082,0.3170409113172379,0.06983290885255003,recommendation_v2_test,control
U00098,UK,desktop,ios,1.0,0.22559286820421098,0.5724579331221157,0.3611745452375565,recommendation_v2_test,treatment
U00099,Germany,tablet,ios,1.1,0.6524330565210316,0.3162141518240431,0.4830877220922746,recommendation_v2_test,treatment
U00100,UK,desktop,android,1.0,0.6260124809410571,0.3606573344502543,0.332006584533717,recommendation_v2_test,control
U00101,Australia,tablet,ios,1.1,0.9210571972951916,0.5036329251830992,0.33615131310731294,recommendation_v2_test,treatment
U00102,UK,tablet,android,1.0,0.8373823623450686,0.4941416465174234,0.1137211983843976,recommendation_v2_test,treatment
U00103,India,mobile,web,1.1,0.0555679169068779,0.2806114361336559,0.23377152227585019,recommendation_v2_test,control
U00104,UK,mobile,web,1.0,0.7426925667250857,0.014682843560070769,0.5049453834863775,recommendation_v2_test,control
U00105,Germany,tablet,ios,1.0,0.1536128990606348,0.6008404079450809,0.11581990572569188,recommendation_v2_test,control
U00106,Germany,desktop,ios,1.1,0.9954644725836371,0.7721048913545856,0.2210288304564214,recommendation_v2_test,control
U00107,Australia,tablet,android,1.1,0.38784169516364975,0.6408886345861594,0.05590020473662194,recommendation_v2_test,treatment
U00108,Germany,mobile,web,1.1,0.16375130425829587,0.16590686787653364,0.5099673598026309,recommendation_v2_test,control
U00109,Australia,tablet,web,1.1,0.8390697308817134,0.9903216643262726,0.1278777387128261,recommendation_v2_test,treatment
U00110,Germany,desktop,web,1.0,0.08004928364618502,0.7553301727947445,0.2885784650274261,recommendation_v2_test,control
U00111,UK,desktop,web,1.0,0.18092665223086812,0.907103622156215,0.07455699893585338,recommendation_v2_test,control
U00112,Germany,mobile,android,1.0,0.4901975424015864,0.5864451730147959,0.3213094867178666,recommendation_v2_test,treatment
U00113,India,mobile,android,1.0,0.8435883847625412,0.6375887004784591,0.40703197757385084,recommendation_v2_test,control
U00114,UK,tablet,web,1.1,0.058108481721447336,0.3666083849326124,0.3467400893939232,recommendation_v2_test,control
U00115,Australia,desktop,web,1.1,0.48257250858729395,0.7686275894593791,0.5186085342846429,recommendation_v2_test,treatment
U00116,UK,desktop,ios,1.1,0.5871239405369806,0.8502742988337217,0.23732493757533835,recommendation_v2_test,treatment
U00117,Germany,desktop,web,1.1,0.10497971589607058,0.39855250670154063,0.5545357199034219,recommendation_v2_test,control
U00118,Germany,desktop,ios,1.0,0.33885563560960497,0.19160300966269983,0.0636527224892149,recommendation_v2_test,treatment
U00119,Germany,tablet,web,1.0,0.30753507242078615,0.5984771915577366,0.054022950961158604,recommendation_v2_test,control
U00120,UK,mobile,android,1.1,0.633769773069263,0.9818059475425355,0.3911967403119242,recommendation_v2_test,control
U00121,Australia,desktop,web,1.1,0.9033278719640531,0.7206959467183516,0.5797661729521587,recommendation_v2_test,treatment
U00122,Germany,tablet,ios,1.1,0.11410407118363719,0.7324135029937877,0.2920487847400527,recommendation_v2_test,treatment
U00123,Germany,desktop,web,1.1,0.9698151167055694,0.9845780814316246,0.20852553501834786,recommendation_v2_test,treatment
U00124,Australia,tablet,web,1.1,0.3464928613130488,0.12386977486422102,0.07252082815714586,recommendation_v2_test,control
U00125,Germany,tablet,web,1.0,0.9855401694949262,0.46497345619365305,0.5878543384906121,recommendation_v2_test,control
U00126,India,desktop,android,1.1,0.08481927231183206,0.5554617101377639,0.49113288284214823,recommendation_v2_test,control
U00127,UK,tablet,ios,1.1,0.036970727201174225,0.3727023413067342,0.0767841597726182,recommendation_v2_test,control
U00128,UK,mobile,web,1.1,0.7132581963116982,0.7737206827516263,0.5260011014306145,recommendation_v2_test,treatment
U00129,Germany,tablet,ios,1.1,0.048963709823279244,0.23453515044129858,0.3920437753563851,recommendation_v2_test,treatment
U00130,India,tablet,ios,1.0,0.5146293421163498,0.6772873993643972,0.06628400902073726,recommendation_v2_test,treatment
U00131,Australia,desktop,web,1.1,0.6716128088558587,0.2376583633605973,0.5190296212975519,recommendation_v2_test,treatment
U00132,Germany,desktop,web,1.1,0.29894365111890553,0.590320250883149,0.26831703726130873,recommendation_v2_test,control
U00133,India,mobile,ios,1.1,0.18759368193949133,0.0848115912357631,0.23805981620011318,recommendation_v2_test,control
U00134,UK,tablet,ios,1.1,0.9987433700667648,0.2963620570111649,0.2743680731222052,recommendation_v2_test,treatment
U00135,Germany,mobile,android,1.1,0.9975800372629172,0.7008810101206585,0.3773670622273544,recommendation_v2_test,treatment
U00136,India,desktop,ios,1.1,0.49691659613034944,0.1343669133130615,0.2509581547595234,recommendation_v2_test,treatment
U00137,India,mobile,ios,1.0,0.017668780999912204,0.4532799165001634,0.3989971457234884,recommendation_v2_test,treatment
U00138,Australia,desktop,ios,1.0,0.9592092728445759,0.7519631215749155,0.34747115031972314,recommendation_v2_test,treatment
U00139,Australia,mobile,ios,1.1,0.23509711688065948,0.32534273051667706,0.5499856479326216,recommendation_v2_test,control
U00140,UK,desktop,web,1.1,0.5907447941637661,0.6534392090094951,0.21466081033315404,recommendation_v2_test,control
U00141,Australia,mobile,android,1.0,0.15544156408342247,0.8743143652908074,0.20578581328756274,recommendation_v2_test,treatment
U00142,India,desktop,android,1.1,0.7838241093757136,0.4383862585841929,0.31194151972269907,recommendation_v2_test,treatment
U00143,Australia,tablet,ios,1.1,0.8146384431178827,0.9025539692192319,0.48317440992613647,recommendation_v2_test,control
U00144,UK,mobile,android,1.1,0.10189415731454488,0.6529221265639984,0.5754421855032961,recommendation_v2_test,treatment
U00145,Australia,desktop,web,1.0,0.03584275141816318,0.9597745223292203,0.10665147627158733,recommendation_v2_test,treatment
U00146,UK,mobile,android,1.0,0.06553043391838242,0.45511784241176234,0.33384829069141175,recommendation_v2_test,control
U00147,Australia,mobile,android,1.0,0.1116003682492267,0.3845043779899281,0.08329064795459487,recommendation_v2_test,treatment
U00148,Australia,tablet,ios,1.0,0.3020715687836385,0.3941257771780975,0.2791352981880313,recommendation_v2_test,treatment
